,availableBikes,departs,id,lat,lng,stAddress,totalDocks
376,9,38,3146,40.77573034,-73.9567526,E 81 St & 3 Ave,47
377,11,28,3147,40.77801203,-73.95407149,E 85 St & 3 Ave,39
378,10,18,3148,40.77565541,-73.95068615,E 84 St & 1 Ave,31
379,4,43,3150,40.77536905,-73.94803392,E 85 St & York Ave,47
380,1,42,3151,40.7728384,-73.94989233,E 81 St & York Ave,43
381,1,40,3152,40.76873687,-73.96119945,3 Ave & E 71 St,42
382,3,33,3153,40.76817546742245,-73.95910263061523,E 71 St & 2 Ave,37
383,1,29,3154,40.77314236,-73.95856158,E 77 St & 3 Ave,31
384,7,31,3155,40.76440023,-73.96648977,Lexington Ave & E 63 St,39
385,1,35,3156,40.76663814,-73.95348296,E 72 St & York Ave,37
386,4,23,3157,40.77518615,-73.94446054,East End Ave & E 86 St,27
387,0,29,3158,40.77163851,-73.98261428,W 63 St & Broadway,31
388,21,9,3159,40.77492513,-73.98266566,W 67 St & Broadway,31
389,21,17,3160,40.77896784,-73.97374737,Central Park West & W 76 St,39
390,18,38,3161,40.7801839724239,-73.97728532552719,W 76 St & Columbus Ave,59
391,16,21,3162,40.78339981,-73.98093133,W 78 St & Broadway,39
392,24,17,3163,40.7734066,-73.97782542,Central Park West & W 68 St,43
393,29,35,3164,40.7770575,-73.97898475,Columbus Ave & W 72 St,67
394,45,2,3165,40.77579376683666,-73.9762057363987,Central Park West & W 72 St,51
395,7,33,3166,40.78057799010334,-73.98562431335449,Riverside Dr & W 72 St,41
396,13,26,3167,40.77966809007312,-73.98093044757842,Amsterdam Ave & W 73 St,55
397,15,15,3168,40.78472675,-73.96961715,Central Park West & W 85 St,31
398,4,35,3169,40.78720869,-73.98128127,Riverside Dr & W 82 St,39
399,2,32,3170,40.78499979,-73.97283406,W 84 St & Columbus Ave,35
400,5,33,3171,40.78524672,-73.97667321,Amsterdam Ave & W 82 St,39
401,0,26,3172,40.7785669,-73.97754961,W 74 St & Columbus Ave,27
402,26,13,3173,40.777507027547976,-73.98888587951659,Riverside Blvd & W 67 St,39
403,0,27,3175,40.77748046,-73.98288594,W 70 St & Amsterdam Ave,31
404,1,60,3177,40.7867947,-73.977112,W 84 St & Broadway,63
405,23,14,3178,40.78414472,-73.98362492,Riverside Dr & W 78 St,39
406,1,21,3179,40.698617,-73.941342,Park Ave & Marcus Garvey Blvd,23
407,0,0,3180,40.69878,-73.99712,Brooklyn Bridge Park - Pier 2,0
408,11,31,3182,40.686931,-74.016966,Yankee Ferry Terminal,42
409,13,16,3183,40.7162469,-74.0334588,Exchange Place,30
410,11,2,3184,40.7141454,-74.0335519,Paulus Hook,14
411,17,5,3185,40.7177325,-74.043845,City Hall,22
412,28,14,3186,40.71958611647166,-74.04311746358871,Grove St PATH,42
413,11,11,3187,40.7211236,-74.03805095,Warren St,22
414,8,10,3191,40.7182113,-74.0836394,Union St,18
415,4,11,3192,40.7112423,-74.0557013,Liberty Light Rail,22
416,6,10,3193,40.7246050998869,-74.07840594649315,Lincoln Park,18
417,11,10,3194,40.7253399253558,-74.06762212514877,McGinley Square,22
418,5,30,3195,40.73074262530658,-74.06378388404846,Sip Ave,38
419,5,13,3196,40.7443187,-74.0439909,Riverview Park,18
420,4,13,3198,40.748715945380226,-74.04044330120087,Heights Elevator,18
421,6,6,3199,40.7287448,-74.0321082,Newport Pkwy,14
422,15,3,3201,40.737711,-74.066921,Dey St,18
423,9,8,3202,40.7272235,-74.0337589,Newport PATH,18
424,7,17,3203,40.727595966,-74.044247311,Hamilton Park,26
425,14,6,3205,40.71653978099194,-74.0496379137039,JC Medical Center,22
426,5,21,3206,40.7311689,-74.0575736,Hilltop,26
427,9,15,3207,40.7376037,-74.0524783,Oakland Ave,26
428,16,4,3209,40.7241765,-74.0506564,Brunswick St,22
429,6,11,3210,40.742677141,-74.051788633,Pershing Field,18
430,17,3,3211,40.72152515,-74.046304543,Newark Ave,22
431,3,18,3212,40.734785818,-74.050443636,Christ Hospital,22
432,13,9,3213,40.71848892,-74.047726625,Van Vorst Park,22
433,14,6,3214,40.7127742,-74.0364857,Essex Light Rail,22
434,3,15,3220,40.734961020009514,-74.0595030784607,5 Corners Library,18
435,4,22,3221,40.743,-73.93561,47 Ave & 31 St,27
436,3,48,3223,40.758996559605116,-73.96865397691727,E 55 St & 3 Ave,53
437,3,10,3225,40.7236589,-74.0641943,Baldwin at Montgomery,14
438,1,43,3226,40.78275,-73.97137,W 82 St & Central Park West,45
439,4,35,3231,40.76780080148132,-73.96592080593109,E 67 St & Park Ave,39
440,8,22,3232,40.68962188790333,-73.98304268717766,Bond St & Fulton St,31
441,16,23,3233,40.75724567911726,-73.97805914282799,E 48 St & 5 Ave,39
442,1,30,3235,40.752165280621966,-73.97992193698882,E 41 St & Madison Ave,31
443,1,30,3236,40.75898481399634,-73.99379968643188,W 42 St & Dyer Ave,33
444,2,17,3241,40.686203,-73.944694,Monroe St & Tompkins Ave,19
445,16,23,3242,40.69102925677968,-73.99183362722397,Schermerhorn St & Court St,39
446,2,27,3243,40.75892386377695,-73.96226227283478,E 58 St & 1 Ave,29
447,8,23,3244,40.73143724085228,-73.99490341544151,University Pl & E 8 St,31
448,0,19,3249,40.6803560840434,-73.9476791024208,Verona Pl & Fulton St,19
449,3,15,3255,40.7505853470215,-73.9946848154068,8 Ave & W 31 St,19
450,6,13,3256,40.7277140777778,-74.01129573583603,Pier 40 - Hudson River Park,22
451,4,31,3258,40.75018156325683,-74.00218427181244,W 27 St & 10 Ave,37
452,1,24,3259,40.74937024193277,-73.99923384189606,9 Ave & W 28 St,27
453,3,28,3260,40.72706363348306,-73.99662137031554,Mercer St & Bleecker St,31
454,20,37,3263,40.72951496224949,-73.99075269699097,Cooper Square & Astor Pl,59
455,3,9,3267,40.7124188237569,-74.03852552175522,Morris Canal,14
456,7,6,3268,40.71346382669195,-74.06285852193832,Lafayette Park,14
457,1,12,3269,40.72601172964625,-74.05038893222809,Brunswick & 6th,14
458,13,1,3270,40.72528910781132,-74.04557168483734,Jersey & 6th St,14
459,8,2,3272,40.72333158646436,-74.04595255851744,Jersey & 3rd,14
460,13,2,3273,40.721650724879986,-74.04288411140442,Manila & 1st,18
461,2,11,3275,40.71835519823214,-74.03891444206238,Columbus Drive,14
462,15,10,3276,40.71458403535893,-74.04281705617905,Marin Light Rail,26
463,4,10,3277,40.71435836870427,-74.06661093235016,Communipaw & Berry Lane,14
464,3,9,3278,40.72568548362901,-74.04879033565521,Monmouth and 6th,14
465,9,8,3279,40.721630142638354,-74.04996782541275,Dixon Mills,18
466,1,13,3280,40.71928220070702,-74.07126188278198,Astor Place,14
467,3,11,3281,40.74590996631558,-74.0572714805603,Leonard Gordon Park,14
468,31,5,3282,40.78307,-73.95939,5 Ave & E 88 St,38
469,17,27,3283,40.7882213,-73.97041561,W 89 St & Columbus Ave,47
470,7,28,3284,40.781410700190015,-73.95595908164978,E 88 St & Park Ave,38
471,3,39,3285,40.78839,-73.9747,W 87 St & Amsterdam Ave,43
472,5,34,3286,40.7806284,-73.9521667,E 89 St & 3 Ave,39
473,10,25,3288,40.778301,-73.9488134,E 88 St & 1 Ave,39
474,9,23,3289,40.79017948095081,-73.97288918495178,W 90 St & Amsterdam Ave,32
475,6,29,3290,40.7779453,-73.946041,E 89 St & York Ave,35
476,10,30,3292,40.7857851,-73.957481,5 Ave & E 93 St,43
477,7,17,3293,40.7921,-73.9739,W 92 St & Broadway,24
478,4,34,3294,40.7835016,-73.955327,E 91 St & Park Ave,38
479,8,51,3295,40.79127,-73.964839,Central Park W & W 96 St,59
480,5,37,3296,40.782454175279874,-73.9489196240902,E 93 St & 2 Ave,42
481,1,19,3297,40.6686627,-73.97988067,6 St & 7 Ave,21
482,4,19,3298,40.686371,-73.99383324,Warren St & Court St,23
483,2,23,3299,40.78813,-73.95206,E 98 St & Park Ave,25
484,1,24,3300,40.66514681533792,-73.97637605667114,Prospect Park West & 8 St,25
485,0,0,3301,40.7919557,-73.968087,Columbus Ave & W 95 St,0
486,0,22,3302,40.7969347,-73.9643412291,Columbus Ave & W 103 St,22
487,7,18,3303,40.6849894,-73.99440329,Butler St & Court St,25
488,2,25,3304,40.668127,-73.98377641,6 Ave & 9 St,27
489,6,31,3305,40.78112229934166,-73.94965589046478,E 91 St & 2 Ave,39
490,13,10,3306,40.6662078,-73.98199886,10 St & 7 Ave,23
491,12,19,3307,40.7941654,-73.974124,West End Ave & W 94 St,31
492,7,20,3308,40.6861758,-73.99645295,Kane St & Clinton St,27
493,0,30,3309,40.7859201,-73.94860294,E 97 St & 3 Ave,30
494,0,24,3310,40.663779,-73.98396846,14 St & 7 Ave,24
495,19,2,3311,40.68763155,-74.0016256,Columbia St & Kane St,21
496,31,8,3312,40.7817212,-73.94594,1 Ave & E 94 St,39
497,3,26,3313,40.6663181,-73.9854617,6 Ave & 12 St,29
498,3,28,3314,40.7937704,-73.971888,W 95 St & Broadway,32
499,11,12,3315,40.6847514,-73.99917254,Henry St & Degraw St,23
500,14,9,3317,40.6686273,-73.98700053,10 St & 5 Ave,24
501,18,20,3318,40.7839636,-73.9471673,2 Ave & E 96 St,39
502,9,9,3319,40.666287,-73.98895053,14 St & 5 Ave,21
503,15,30,3320,40.79406660818552,-73.96286845207214,Central Park West & W 100 St,49
504,0,25,3321,40.6831164,-73.99785267,Clinton St & Union St,25
505,3,22,3322,40.668603,-73.9904394,12 St & 4 Ave,25
506,1,56,3323,40.7981856,-73.9605909006,W 106 St & Central Park West,59
507,24,1,3324,40.6685455,-73.99333264,3 Ave & 14 St,25
508,14,7,3326,40.67434,-74.00194698,Clinton St & Centre St,21
509,0,27,3327,40.7877214,-73.94728331,3 Ave & E 100 St,27
510,1,37,3328,40.795,-73.9645,W 100 St & Manhattan Ave,39
511,5,20,3329,40.6829151,-73.99318208,Degraw St & Smith St,27
512,9,8,3330,40.6725058,-74.00494695,Henry St & Bay St,19
513,5,34,3331,40.8013434,-73.9711457439,Riverside Dr & W 104 St,39
514,3,16,3332,40.681990442707026,-73.99079024791718,Degraw St & Hoyt St,19
515,16,4,3333,40.6747055,-74.0075572,Columbia St & Lorraine St,21
516,22,3,3335,40.6772744,-73.98282002,Union St & 4 Ave,28
517,1,39,3336,40.787801,-73.953559,E 97 St & Madison Ave,41
518,18,5,3337,40.67363551341504,-74.01195555925369,Dwight St & Van Dyke St,23
519,7,23,3338,40.7862586,-73.94552579,2 Ave & E 99 St,31
520,13,7,3339,40.6765304,-73.97846879,Berkeley Pl & 6 Ave,23
521,18,2,3340,40.6753274,-74.0100698,Wolcott St & Dwight St,21
522,0,40,3341,40.795346,-73.96186,Central Park West & W 102 St,41
523,8,15,3342,40.6777748,-74.0094613,Pioneer St & Richards St,23
524,1,22,3343,40.7997568,-73.9621128676,W 107 St & Columbus Ave,23
